MOUSE Move {X=229,Y=0} 06/06/2018 17:51:20 914
MOUSE Move {X=228,Y=-9} 06/06/2018 17:51:20 927
MOUSE Move {X=228,Y=-11} 06/06/2018 17:51:20 939
MOUSE Move {X=228,Y=-9} 06/06/2018 17:51:20 952
MOUSE Move {X=228,Y=-6} 06/06/2018 17:51:20 965
MOUSE Move {X=228,Y=-3} 06/06/2018 17:51:20 978
MOUSE Move {X=228,Y=0} 06/06/2018 17:51:20 990
MOUSE Move {X=228,Y=-1} 06/06/2018 17:51:21 4
MOUSE Move {X=228,Y=0} 06/06/2018 17:51:21 16
MOUSE Move {X=228,Y=0} 06/06/2018 17:51:21 30
MOUSE Move {X=224,Y=0} 06/06/2018 17:51:21 42
MOUSE Move {X=224,Y=1} 06/06/2018 17:51:21 240
MOUSE Move {X=223,Y=2} 06/06/2018 17:51:21 251
MOUSE Move {X=221,Y=5} 06/06/2018 17:51:21 261
MOUSE Move {X=220,Y=8} 06/06/2018 17:51:21 273
MOUSE Move {X=218,Y=12} 06/06/2018 17:51:21 285
MOUSE Move {X=213,Y=19} 06/06/2018 17:51:21 297
MOUSE Move {X=205,Y=28} 06/06/2018 17:51:21 311
MOUSE Move {X=196,Y=35} 06/06/2018 17:51:21 323
MOUSE Move {X=186,Y=44} 06/06/2018 17:51:21 336
MOUSE Move {X=176,Y=54} 06/06/2018 17:51:21 349
MOUSE Move {X=164,Y=65} 06/06/2018 17:51:21 362
MOUSE Move {X=154,Y=74} 06/06/2018 17:51:21 374
MOUSE Move {X=143,Y=80} 06/06/2018 17:51:21 388
MOUSE Move {X=131,Y=84} 06/06/2018 17:51:21 402
